location,year_week,new_cases,new_deaths,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations
Australia,2024-04-15/2024-04-21,4424.0,34.0,11836866.0,25165.0,,,
Australia,2024-04-22/2024-04-28,4657.0,21.0,11841523.0,25186.0,,,
Australia,2024-04-29/2024-05-05,4866.0,16.0,11846389.0,25202.0,,,
Australia,2024-05-06/2024-05-12,6769.0,18.0,11853158.0,25220.0,,,
Australia,2024-05-13/2024-05-19,8003.0,16.0,11861161.0,25236.0,,,
Australia,2024-05-20/2024-05-26,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-05-27/2024-06-02,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-06-03/2024-06-09,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-06-10/2024-06-16,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-06-17/2024-06-23,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-06-24/2024-06-30,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-07-01/2024-07-07,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-07-08/2024-07-14,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-07-15/2024-07-21,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-07-22/2024-07-28,0.0,0.0,11861161.0,25236.0,,,
Australia,2024-07-29/2024-08-04,0.0,0.0,11861161.0,25236.0,,,
China,2019-12-30/2020-01-05,1.0,0.0,1.0,0.0,,,
China,2020-01-06/2020-01-12,44.0,1.0,45.0,1.0,,,
China,2020-01-13/2020-01-19,80.0,2.0,125.0,3.0,,,
China,2020-01-20/2020-01-26,1860.0,53.0,1985.0,56.0,,,
China,2020-01-27/2020-02-02,12426.0,305.0,14411.0,361.0,,,
China,2020-02-03/2020-02-09,22840.0,544.0,37251.0,905.0,,,
China,2020-02-10/2020-02-16,31333.0,862.0,68584.0,1767.0,,,
China,2020-02-17/2020-02-23,8458.0,679.0,77042.0,2446.0,,,
