location,year_week,new_cases,positivity_rate,people_vaccinated,cases_norm,positivity_z,vacc_norm,risk_score,risk_level
Australia,2021-09-20/2021-09-26,12498.0,0.0078857142857142,16050194.0,0.041236555556508736,-0.47402614683542627,0.7220915736648783,-0.25360460966387655,Low
Australia,2021-09-27/2021-10-03,15401.0,0.0095857142857142,16943837.0,0.05081486574858306,-0.4642091108459593,0.7627031372043485,-0.25147122650244647,Low
Australia,2021-10-04/2021-10-10,15281.0,0.0114428571428571,17644750.0,0.050418931465755316,-0.453484617748222,0.7945560950803019,-0.2526935647410453,Low
Australia,2021-10-11/2021-10-17,15347.0,0.0119857142857142,18214049.0,0.05063669532131057,-0.450349765919653,0.820427860999642,-0.25536824956116955,Low
Australia,2021-10-18/2021-10-24,13759.0,0.0127571428571428,18692857.0,0.045397164978556864,-0.44589497647905435,0.8421872677372393,-0.25969274943897647,Low
Australia,2021-10-25/2021-10-31,10046.0,0.0115142857142857,19052562.0,0.03314629837739532,-0.4530721372444627,0.858534044316886,-0.2707822054943972,Low
Australia,2021-11-01/2021-11-07,9666.0,0.0090571428571428,19303290.0,0.031892506481774156,-0.46726146657377654,0.8699283663259256,-0.27808451500882353,Low
Australia,2021-11-08/2021-11-14,8701.0,0.0088571428571428,19563025.0,0.02870853495736778,-0.4684164119843021,0.8817320110206464,-0.28185127836891877,Low
Australia,2021-11-15/2021-11-21,9330.0,0.0081428571428571,19787505.0,0.030783890489856497,-0.47254121702189317,0.891933493920798,-0.283787504800854,Low
Australia,2021-11-22/2021-11-28,9744.0,0.0089714285714285,19975729.0,0.032149863765612186,-0.4677564431782876,0.9004873246290934,-0.2827129219239586,Low
Australia,2021-11-29/2021-12-05,10526.0,0.0090714285714285,20106757.0,0.03473003550870627,-0.46717897047302487,0.9064418858436385,-0.28211390478775134,Low
Australia,2021-12-06/2021-12-12,13403.0,0.0089714285714285,20208813.0,0.04422255993950124,-0.4677564431782876,0.9110798158991351,-0.27826544752752025,Low
