location,year_week,daily_vaccinations,daily_vaccinations_raw,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
India,2022-06-20/2022-06-26,9507207.0,9354075.0,1097364.0,0.011,958.4285714285714,1969852777.0,1015812743.0,911401679.0,42638355.0,139.0,71.68,64.31,3.01
India,2022-06-27/2022-07-03,9509149.0,8698282.0,1189742.0,0.011857142857142858,958.7142857142857,1978551059.0,1016937915.0,916273442.0,45339702.0,139.61,71.76,64.66,3.2
India,2022-07-04/2022-07-10,7848102.0,5783077.0,1012528.0,0.010285714285714285,791.1428571428571,1986908392.0,1017996645.0,920505305.0,48406442.0,140.2,71.83,64.95,3.42
India,2022-07-11/2022-07-17,11260975.0,10056696.0,1172597.0,0.011714285714285715,1135.142857142857,1996965088.0,1018896980.0,925286833.0,52781275.0,140.91,71.9,65.29,3.72
India,2022-07-18/2022-07-24,16500824.0,18435445.0,1012577.0,0.010142857142857143,1663.4285714285713,2020403475.0,1020201502.0,929485331.0,70716642.0,142.57,71.99,65.59,4.99
India,2022-07-25/2022-07-31,22125653.0,22371430.0,1157102.0,0.011714285714285715,2230.285714285714,2042774905.0,1021327183.0,932775394.0,88672328.0,144.14,72.07,65.82,6.26
India,2022-08-01/2022-08-07,20457236.0,13703591.0,987876.0,0.01,2062.1428571428573,2062862077.0,1022282731.0,935516836.0,105062510.0,145.56,72.14,66.01,7.41
India,2022-08-08/2022-08-14,20044331.0,17452163.0,914097.0,0.009428571428571429,2020.5714285714287,2080314240.0,1023010325.0,937694109.0,119609806.0,146.79,72.19,66.17,8.44
India,2022-08-15/2022-08-21,16418560.0,17074663.0,566319.0,0.005857142857142858,1655.142857142857,2097388903.0,1023568977.0,939457024.0,134362902.0,148.0,72.23,66.29,9.48
India,2022-08-22/2022-08-28,19331588.0,19631247.0,699869.0,0.0071428571428571435,1948.7142857142858,2117020150.0,1024314319.0,941719531.0,150986300.0,149.38,72.28,66.45,10.65
